,x1,y1,x2,y2,x3,y3,voltage
0,-0.06659559905948519,-0.00593510131156838,-0.14997712503653102,-0.5046501141052241,-0.527986616377433,-0.5361492107846804,0.0936610142296
1,0.05,-0.15,0.05,-0.4,-0.4,-0.4,0.2375
2,-0.15,0.05,0.05,-0.4,-0.55,-0.4,0.2
3,-0.15,-0.15,0.05,-0.55,-0.4,-0.55,0.0375
4,0.05,0.05,0.05,-0.4,-0.55,-0.55,0.55
5,0.05,0.05,0.05,-0.55,-0.4,-0.4,0.1075
6,0.05,-0.15,0.05,-0.55,-0.55,-0.55,0.38
7,0.05,-0.15,0.05,-0.4,-0.55,-0.55,0.53
8,0.05,-0.038160368607778626,0.05,-0.4,-0.55,-0.55,0.551043786268
9,0.05,-0.15,0.05,-0.4,-0.55,-0.4,0.38
