,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,voltage,resistance
0,9,-3,3,-1,12,0,-1,2,3,-2,0.0,1000.0
1,-8,3,4,12,9,5,5,-1,-1,-3,0.0,1000.0
2,4,1,-2,7,7,3,5,-2,-4,3,0.0,1000.0
3,-6,-2,6,12,10,1,-1,1,-3,-3,0.0,1000.0
4,1,2,-8,9,-10,2,-2,-1,-5,-1,23.7,40.0
5,-5,0,2,9,-8,-4,-4,0,0,1,25.8,33.0
6,-2,3,-6,9,-10,1,-2,0,-4,-2,27.0,30.0
7,-2,2,-6,10,-11,1,-2,1,-4,-2,26.1,33.0
8,-2,3,-6,10,-10,2,-3,0,-4,-1,25.8,33.0
9,-3,3,-6,9,-11,1,-2,-1,-5,-3,26.2,32.0
10,-6,1,1,9,-9,-5,-5,0,0,0,26.4,32.0
11,-3,3,-4,9,-10,-1,-3,0,-3,-2,26.1,33.0
12,-3,3,-7,10,-9,0,-2,0,-4,-2,24.9,36.0
13,-2,3,-5,8,-10,1,-3,1,-5,-2,25.2,35.0
14,-2,2,-5,9,-11,2,-1,-1,-2,-2,26.4,32.0
15,-2,4,-5,9,-11,0,-1,-1,-4,-1,26.1,33.0
16,-1,3,-5,9,-11,1,-3,-1,-3,-3,27.3,29.0
17,-2,3,-6,9,-11,1,-3,-1,-3,-2,26.1,33.0
18,-4,1,3,10,-10,-5,-5,0,1,-1,26.1,33.0
19,-7,2,3,11,-9,-5,-5,0,0,1,27.0,30.0
20,-1,3,-4,10,-10,1,-1,-1,-4,-4,27.3,29.0
21,-7,0,2,12,-9,-5,-5,0,2,1,0.0,1000.0
22,-6,2,3,9,-9,-5,-5,0,0,0,27.6,28.0
23,-2,3,-5,10,-11,1,-2,-1,-4,-3,26.1,33.0
24,-6,2,3,10,-9,-5,-5,0,-1,1,27.6,28.0
25,-1,3,-4,9,-10,1,-2,0,-3,-3,28.2,27.0
26,-2,3,-5,9,-11,1,-1,-1,-3,-3,27.0,30.0
27,-2,3,-4,9,-10,1,-2,-1,-3,-2,26.1,33.0
28,-1,3,-5,9,-11,1,-2,0,-4,-3,26.7,31.0
29,-1,3,-5,10,-10,1,-2,0,-3,-3,25.5,34.0
30,-5,1,3,9,-9,-5,-4,0,0,0,26.4,32.0
31,-3,4,-7,10,-12,-1,1,-3,-3,-1,26.1,33.0
32,-7,2,3,10,-9,-5,-5,0,0,1,25.5,34.0
33,-6,2,3,10,-9,-5,-5,0,0,0,27.9,28.0
34,-5,2,2,9,-9,-5,-5,0,0,0,27.6,28.0
35,-2,2,-1,7,-7,-3,-4,-1,0,0,27.6,28.0
36,-6,1,2,9,-9,-4,-5,0,-1,0,29.1,25.0
37,-2,5,-7,9,-11,3,-2,-3,0,-3,26.1,33.0
38,-3,2,0,7,-7,-3,-4,-1,0,0,0.0,1000.0
39,-6,1,2,9,-9,-5,-5,0,0,0,27.9,28.0
40,-4,4,-8,10,-12,1,0,2,-3,-4,24.6,37.0
41,-3,4,-6,8,-10,1,0,-1,1,-1,27.6,28.0
42,-1,1,-4,9,-9,3,-3,3,-4,-3,26.4,32.0
43,-4,-1,3,10,-7,-2,-2,0,0,2,0.0,1000.0
44,-3,4,-7,6,-10,2,-2,-2,-2,0,0.0,1000.0
45,2,4,-7,9,-11,2,1,0,-4,-4,26.1,33.0
46,1,1,-7,9,-11,2,-3,-3,-4,1,25.5,34.0
47,-4,5,-9,9,-11,-1,-1,2,0,-4,27.0,30.0
48,-2,4,-6,9,-11,2,1,-1,-1,-5,27.3,29.0
49,-1,3,-3,9,-11,-1,-5,-1,-3,-4,27.0,30.0
